link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/beijing/140306032.html?s=sou_sou_soulb&t=0_0,音频声音主播（不露脸）,河北千鹰文化传播有限公司,1-1.5万,北京,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/tianjin-hbq/144369777.html?s=sou_sou_soulb&t=0_0,电商主播,天津市名士制衣有限公司,6千-1.2万,天津-河北区,1年经验,大专,民营,服装/纺织/皮革
https://jobs.51job.com/jiamusi/144134428.html?s=sou_sou_soulb&t=0_0,游戏主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/144359089.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/nantong-ccq/144382884.html?s=sou_sou_soulb&t=0_0,电商主播,江苏爱舒屋化妆品有限公司,5.5千-1万,南通-崇川区,1年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/shenzhen-lgq/128088162.html?s=sou_sou_soulb&t=0_0,招募深圳龙岗酷狗主播女包住,深圳市超粤文化传媒有限公司,5千-1万,深圳-龙岗区,无需经验,无学历要求,创业公司,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144384391.html?s=sou_sou_soulb&t=0_0,主播/主持人,南京众禧教育科技有限公司,8千-1.5万,南京-江宁区,1年经验,高中,民营,教育/培训/院校
https://jobs.51job.com/changsha/144414349.html?s=sou_sou_soulb&t=0_0,电商主播,三诺生物传感股份有限公司,6-8千,长沙,1年经验,大专,民营,医疗设备/器械
https://jobs.51job.com/shanghai-xhq/135700160.html?s=sou_sou_soulb&t=0_0,游戏主播,上海姚际信息科技有限公司,8千-1.5万,上海-徐汇区,1年经验,大专,民营,网络游戏
https://jobs.51job.com/beijing-xcq/144421240.html?s=sou_sou_soulb&t=0_0,线上在家语音聊天主播（不露脸）,武汉瑶音文化传媒有限公司,1-1.5万,北京-西城区,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/jiamusi/144134707.html?s=sou_sou_soulb&t=0_0,招娱乐主播 颜值主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/wuhan/144208895.html?s=sou_sou_soulb&t=0_0,主播&策划,福建省莆田市富威尔品牌科技有限公司,5-8千,武汉,2年经验,大专,民营,批发/零售
https://jobs.51job.com/nanjing-jnq/144359108.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/guangzhou/144309649.html?s=sou_sou_soulb&t=0_0,线上语音主播/配音/不露脸,河北云昭网络科技有限公司,1-1.2万,广州,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
